taxa,vregion,group
species_01,V1,1
species_02,V1,2
species_03,V1,3
species_04,V1,3
species_05,V1,4
species_06,V1,4
species_07,V1,2
species_08,V1,6
species_01,V2,1
species_02,V2,2
species_03,V2,3
species_04,V2,4
species_05,V2,4
species_06,V2,1
species_07,V2,4
species_08,V2,1
species_01,V3,1
species_02,V3,2
species_03,V3,3
species_04,V3,4
species_05,V3,3
species_06,V3,3
species_07,V3,3
species_08,V3,1
species_01,V4,1
species_02,V4,2
species_03,V4,1
species_04,V4,1
species_05,V4,1
species_06,V4,3
species_07,V4,1
species_08,V4,1
species_01,V5,1
species_02,V5,1
species_03,V5,2
species_04,V5,2
species_05,V5,3
species_06,V5,4
species_07,V5,5
species_08,V5,6
species_01,V6,1
species_02,V6,2
species_03,V6,3
species_04,V6,2
species_05,V6,1
species_06,V6,4
species_07,V6,4
species_08,V6,1
species_01,V7,1
species_02,V7,2
species_03,V7,3
species_04,V7,4
species_05,V7,2
species_06,V7,2
species_07,V7,2
species_08,V7,3
species_01,V8,1
species_02,V8,2
species_03,V8,3
species_04,V8,3
species_05,V8,4
species_06,V8,5
species_07,V8,2
species_08,V8,3
species_01,V9,1
species_02,V9,2
species_03,V9,1
species_04,V9,3
species_05,V9,1
species_06,V9,4
species_07,V9,1
species_08,V9,1